id,Week,Day,Match,Game,Blue,Red,Winner,blue_ban_1,blue_ban_2,blue_ban_3,blue_ban_4,blue_pick_1,blue_pick_2,blue_pick_3,blue_pick_4,blue_pick_5,red_ban_1,red_ban_2,red_ban_3,red_ban_4,red_pick_1,red_pick_2,red_pick_3,red_pick_4,red_pick_5
11,1,1,5,2,Toyota Diamond Cobra,Buriram United,Buriram United,TeeMee,Florentino,Y'bneth,Baldum,Elsu,Veres,Lindis,Mina,Ryoma,Riktor,Annette,Superman,Alice,Quillen,Sephera,Xeniel,Wisp,Chaugnar
12,1,1,5,3,Toyota Diamond Cobra,Buriram United,Buriram United,TeeMee,Florentino,Wisp,Y'bneth,Elsu,Xeniel,Kriknak,Liliana,Superman,Annette,Riktor,Marja,Alice,Quillen,Sephera,Omen,Valhein,Mina
13,1,2,6,1,Evos.Debut,Bazaar Gaming,Bazaar Gaming,Quillen,Riktor,Superman,Veres,Elsu,Liliana,Annette,Zill,Maloch,Florentino,Sephera,Kriknak,Xeniel,Omen,TeeMee,Violet,Ryoma,Tulen
14,1,2,6,2,Evos.Debut,Bazaar Gaming,Evos.Debut,Riktor,Elsu,Kriknak,Murad,Omen,Liliana,TeeMee,Tel'Annas,Lindis,Florentino,Quillen,Tulen,Aleister,Sephera,Ryoma,Baldum,Violet,Xeniel
15,1,2,6,3,Evos.Debut,Bazaar Gaming,Bazaar Gaming,Elsu,Riktor,Veres,Kriknak,Omen,Tel'Annas,Quillen,Thane,Natalya,Florentino,Annette,Aleister,Baldum,Tulen,TeeMee,Superman,Lindis,Arum
16,1,2,7,1,RRQ Black Forest,Mega Ignition,Mega Ignition,Annette,Riktor,Aleister,Baldum,Xeniel,TeeMee,Ryoma,Sephera,Wisp,Florentino,Elsu,Kriknak,Lindis,Omen,Quillen,Tel'Annas,Alice,Liliana
17,1,2,7,2,Mega Ignition,RRQ Black Forest,Mega Ignition,Tel'Annas,Elsu,Valhein,Marja,Sephera,TeeMee,Omen,Violet,Maloch,Annette,Florentino,Aleister,Lindis,Ryoma,Riktor,Baldum,Wisp,Kahlii
18,1,2,8,1,Workpoint Fighting Fish,AHQ Esport Club,AHQ Esport Club,TeeMee,Riktor,Maloch,Baldum,Sephera,Annette,Ryoma,Arduin,Lindis,Elsu,Florentino,Superman,Tel'Annas,Omen,Violet,Liliana,Valhein,Y'bneth
19,1,2,8,2,Workpoint Fighting Fish,AHQ Esport Club,AHQ Esport Club,TeeMee,Riktor,Maloch,Valhein,Sephera,Ryoma,Tel'Annas,Lu Bu,Annette,Elsu,Florentino,Lindis,Zill,The Joker,Violet,Liliana,Y'bneth,Omen
20,2,1,9,1,Workpoint Fighting Fish,RRQ Black Forest,Workpoint Fighting Fish,Riktor,Omen,Tel'Annas,Wisp,Sephera,Veres,Violet,Liliana,Marja,Florentino,Elsu,Superman,Annette,Xeniel,TeeMee,Ryoma,Kahlii,Quillen
